0, ,0,0,0,0,0,0
1,Alabama,4961,8808,10552,21077,12115,12092
2,Alaska,3490,3490,7293,18608,13454,16356
3,Arizona,2154,7539,11232,21496,13820,14597
4,Arkansas,3250,4299,8458,15861,12023,12972
5,California,1270,8069,6686,20129,16692,18828
6,Colorado,4010,9014,8309,21491,14556,15431
7,Connecticut,4519,13471,13004,29783,16807,14357
8,Delaware,4945,11808,9161,21604,15179,14240
9,Florida,2708,10238,3937,13773,14132,15156
10,Georgia,3127,5728,6005,16547,13985,13651
11,Hawaii,3220,8356,7710,20982,14745,18333
12,Idaho,3286,4474,8081,25565,11594,13291
13,Illinois,4244,9118,12952,20671,13613,12778
14,Indiana,4500,8661,8439,21771,13127,12599
15,Iowa,5608,6400,9288,25766,11729,12112
16,Kansas,3408,4407,8289,20863,12551,13019
17,Kentucky,4383,14823,10144,21349,12324,12091
18,Louisiana,4200,7454,8669,17746,14024,14771
19,Maine,3765,6723,9579,19974,12859,11041
20,Maryland,4128,7153,9851,22454,14441,14722
21,Massachusetts,5332,10393,12326,24646,17045,14427
22,Michigan,4113,6159,9751,17689,12190,12565
23,Minnesota,5336,5984,10764,16014,11759,12617
24,Mississippi,3399,5647,8770,12328,9734,11398
25,Missouri,3723,5673,8173,16588,12825,13225
26,Montana,3942,5675,6622,18918,12389,12481
27,Nebraska,3121,4321,8002,14813,11798,12362
28,Nevada,2766,9956,5012,15230,14326,15705
29,New Hampshire,7064,15314,14273,24741,15564,15563
30,New Jersey,4833,6720,14523,25898,12808,17159
31,New Mexico,1889,3408,6735,13937,12505,14259
32,New York,5543,9814,8402,18159,14529,15998
33,North Carolina,2450,8226,6640,19768,13546,13576
34,North Dakota,5100,5294,7698,9354,10834,11707
35,Ohio,4786,9153,8802,20385,13455,12725
36,Oklahoma,4547,9503,7413,16109,11568,12530
37,Oregon,4872,8379,10559,29082,13830,13765
38,Pennsylvania,5829,10007,13568,22214,14854,13849
39,Rhode Island,4700,12544,12072,27365,17021,13482
40,South Carolina,5341,8249,12352,27483,12969,13645
41,South Dakota,6284,6790,9500,11265,11790,11555
42,Tennessee,4360,16951,9684,22500,13247,13406
43,Texas,2659,4920,7973,18226,13022,13025
44,Utah,3929,12460,6418,18865,12354,13837
45,Vermont,6654,13398,14747,31889,15097,13758
46,Virginia,5030,11386,13758,32612,14147,13364
47,Washington,4489,7896,5727,11824,14105,14398
48,West Virginia,4287,9141,7393,15356,12446,11390
49,Wisconsin,4451,6357,8186,17519,12083,11821
50,Wyoming,4135,10075,5581,18151,10148,11786
